title,year,field,abstract,methodology,source_url
Kubernetes Multi-Cluster at a Telco,2022,Systems,"Through an embedded case study, we analyzed multi-cluster Kubernetes adoption. Network policies and identity management dominated early failures; a service mesh stabilized communication.",case study,
Remote Exam Proctoring Platform Deployment,2020,Educational Technology,"A university-wide case study documented rapid remote proctoring deployment. Stakeholder interviews and ticket logs highlighted accessibility and perception challenges.",case study,
CI/CD Refactor in a Bank,2019,Software Process,"We studied a CI/CD refactor introducing trunk-based development and gated merges. Build stability improved; compliance mapping required new audit trails.",case study,
Serverless Migration for Event Processing,2024,Cloud Computing,"A case study of migrating event processing to serverless functions showed lower ops overhead and cold-start trade-offs. Observability gaps were addressed via distributed tracing.",case study,
Data Mesh in Retail,2023,Data Architecture,"We analyzed a retailer's data mesh adoption. Domain ownership improved autonomy; cross-domain contracts and governance remained challenging.",case study,
Robotics Fleet Update Pipeline,2021,Robotics,"A field case study of over-the-air updates for a campus robot fleet described staged rollouts and safety interlocks. Downtime and regressions decreased after pipeline hardening.",case study,
SOC Automation Runbooks,2022,Cybersecurity,"An embedded case study on SOC runbook automation showed faster triage for common alerts; human-in-the-loop remained critical for edge cases.",case study,
VR Training in Aviation Maintenance,2024,Virtual Reality,"A case study of VR training in an aviation MRO facility revealed gains in task readiness; integration with certification processes required new evidence capture.",case study,
Co-Design of an Accessible Code Editor,2022,Accessibility,"Following a design-based approach, we co-designed an accessible code editor with screen reader users through three cycles. Iterations simplified landmarks and diff navigation; success rates improved.",design-based,
Microlearning for Secure Coding,2021,Security UX,"Design-based research developed microlearning modules for secure coding. Prototype–deploy–reflect cycles tuned spacing and examples; quiz performance improved in later cohorts.",design-based,
On-Call Handoff Tool,2024,DevOps,"We iteratively designed an on-call handoff tool with SREs. Cycles integrated timeline exports and runbook snippets; pilot use reduced context gaps.",design-based,
Phishing Training with Story Scenarios,2023,Computing Education,"Using participatory design, we created scenario-based phishing training. Iterations improved engagement and retention; analytics showed fewer repeat offenses.",design-based,
AR Manual for HVAC Technicians,2020,Industrial HCI,"A design-based effort produced an AR manual for HVAC maintenance. Overlay density and step chunking were refined; pilot trials reduced rework.",design-based,
Reflection Prompts for Data Science Notebooks,2025,Data Science,"DBR introduced reflection prompts into notebooks. Iterations tuned timing and cognitive load; students produced clearer reasoning in reports.",design-based,
Peer-Assessment Rubrics for Programming,2021,Computing Education,"Design-based research refined peer-assessment rubrics across three courses. Guidance and moderation features improved feedback helpfulness.",design-based,
ICU Alert Triage Interface,2024,Health Informatics,"We co-designed an alert triage interface with ICU staff. Iterations adjusted thresholds and bundling; simulated evaluations showed fewer missed priorities.",design-based,
Community Network Dashboard,2022,ICTD,"DBR with community volunteers created a network health dashboard. Iterations clarified legends and alerts; stewardship increased.",design-based,
API Tutorial Generator,2023,Software Engineering,"We iteratively designed a tutorial generator that converts API specs into guided walkthroughs. Cycles added guardrails and examples; onboarding time decreased in pilots.",design-based
Effect of Example Solutions on Bug Fixing,2023,Software Engineering,"We conducted a randomized between-subjects experiment (n=84) testing whether brief example solutions speed novice bug fixing. Treatment reduced time-to-fix and increased correctness; mixed-effects models indicated p<0.05.",experiment,
AR Landmarks for Indoor Navigation,2024,Human-Computer Interaction,"In a counterbalanced within-subjects lab study (n=36), AR landmark cues were compared with map thumbnails. AR reduced wrong turns by 18% and improved self-reported confidence; NASA-TLX workload decreased.",experiment,
GPU Memory Pooling for Inference,2022,Systems,"We ran a controlled experiment comparing three memory pooling strategies under mixed-batch inference. Pooling cut allocation overhead and tail latency; throughput unchanged at moderate load.",experiment,
Typing Feedback Latency on Mobile,2021,Mobile Computing,"A within-subjects experiment (n=40) injected artificial latency into mobile typing feedback. Error rate rose after 70 ms; swipe entry degraded earlier than tap typing.",experiment,
Secure Browsing Prompts in Portals,2019,Security UX,"We executed an A/B test (n=1,172) inserting contextual prompts about secure browsing. Prompts increased password manager adoption without harming completion; support tickets declined.",experiment,
Compiler Flag Bundles on RISC-V,2025,Computer Architecture,"A build-and-benchmark experiment evaluated compiler flag bundles on a RISC-V board across microbenchmarks. Vector-friendly bundle improved memory-bound kernels; pointer chasing unaffected.",experiment,
Foveated Captions in VR Lectures,2023,Virtual Reality,"We compared foveated vs static captions in a within-subjects study (n=28). Foveated captions preserved comprehension and reduced occlusion complaints; no change in sickness.",experiment,
Prompt Templates for Data Wrangling,2024,Data Science,"A lab experiment contrasted free-form prompts with structured templates for LLM-based wrangling on three datasets. Templates improved accuracy and reduced retries; latency increased modestly.",experiment,
Gesture Passwords with Haptics,2020,Accessibility,"A controlled experiment (n=34) assessed gesture passwords with vs without haptic confirmations. Haptics reduced slips and boosted perceived confidence; entry time unchanged.",experiment,
Autoscaling Policies for Stream Jobs,2021,Systems,"We executed a replay-based experiment on streaming workloads to compare threshold vs predictive autoscaling. Predictive scaling reduced SLO violations under bursty arrivals.",experiment,
Student Attitudes to Peer Review,2022,Computing Education,"We surveyed 812 CS students on perceptions of peer review quality, fairness, and learning. Factor analysis supported three constructs; rubric clarity predicted acceptance.",survey,
Practices in Threat Modeling,2023,Cybersecurity,"An online survey (n=536) examined threat modeling cadence, artifacts, and roles. Lightweight checklists showed higher adoption; formal methods correlated with audit readiness.",survey,
LLM Usage Among Data Analysts,2025,Information Systems,"We surveyed 1,004 analysts about LLM usage, perceived reliability, and governance. Clear escalation paths correlated with higher reported trust; undisclosed use was common.",survey,
Privacy Control Comprehension in IoT Apps,2021,Human-Computer Interaction,"A cross-sectional survey (n=1,128) assessed comprehension of IoT privacy controls. Progressive disclosure improved understanding; defaults shaped choices strongly.",survey,
MLOps Incident Response Habits,2024,MLOps,"We surveyed 468 ML engineers about incident playbooks, shadow deployments, and rollback criteria. Teams with lineage tracking reported faster recovery.",survey,
Dashboard Trust in ICUs,2020,Health Informatics,"A survey of 292 ICU clinicians measured trust, alert fatigue, and usefulness. Trust predicted continued use; fatigue reduced perceived value.",survey,
Developers’ Views on API Style Guides,2019,Software Engineering,"We surveyed 378 developers on API style guides and linting. Enforceable guides correlated with fewer review cycles; onboarding was faster.",survey,
DevRel Metrics and Community Health,2022,Information Systems,"A survey of 521 developer advocates explored metrics, contributor funnels, and burnout. Balanced KPIs aligned with healthier communities.",survey,
Programming Exam Integrity Tools,2023,Computing Education,"We surveyed 689 students on views of proctoring, plagiarism detection, and open-resource policies. Perceived fairness affected satisfaction and compliance.",survey,
Adoption of Zero Trust in SMEs,2024,Cybersecurity,"A practitioner survey (n=442) found policy templates and staged pilots predicted successful zero-trust adoption; unmanaged devices were the top blocker.",survey,
Data Platform Consolidation Journey,2021,Data Architecture,"We present a case study of consolidating three data platforms. Interviews and repo mining showed improved reproducibility; access changes caused short-term friction.",case study,
Agile Rollout at a MedTech Firm,2019,Software Process,"A longitudinal case study traced agile adoption under regulation. Documentation templates aligned audits with iteration cadence; velocity improved gradually.",case study,
City Sensor Network Reliability,2020,IoT Systems,"An embedded case study examined a municipal sensor network rollout. Data quality and governance were central challenges; procurement choices affected maintainability.",case study,
VR Training in a Utilities Company,2024,Virtual Reality,"A field case study of VR safety training reported gains in readiness; certification required new evidence capture workflows.",case study,
Feature Flag Governance at Scale,2022,Software Engineering,"Through interviews, logs, and metrics, a case study of feature flag governance showed faster rollbacks but initial cleanup debt; later policies reduced stale flags.",case study,
Incident Learning Program at FinTech,2023,Cybersecurity Operations,"A longitudinal case study of incident learning found improved postmortem quality and fewer repeat incidents after standardization.",case study,
Kubernetes Multi-Cluster Adoption,2022,Systems,"An embedded case study analyzed multi-cluster Kubernetes. Identity and network policies dominated early failures; service mesh stabilized comms.",case study,
Remote Exam Platform Deployment,2020,Educational Technology,"A university-wide case study documented rapid proctoring rollout. Accessibility and perception challenges surfaced in interviews and tickets.",case study,
Data Mesh Introduction in Retail,2023,Information Systems,"A case study of data mesh adoption found autonomy gains with governance challenges; contracts across domains remained difficult.",case study,
Participatory Design of Secure Login,2023,Security UX,"We conducted design-based research with users with motor impairments to co-design a secure login flow. Iterations minimized precise tapping; success improved in pilots.",design-based,
DBR of Classroom Robotics Kits,2021,Computing Education,"DBR cycles refined a low-cost robotics kit and curriculum. Teacher co-design simplified assessment rubrics; classroom pilots improved engagement.",design-based,
On-Call Handoff Workflow,2024,DevOps,"We iteratively designed an on-call handoff tool with SREs. Cycles added timeline exports and runbook snippets; pilot use reduced context gaps.",design-based,
Scenario-Based Phishing Training,2023,Computing Education,"Using participatory design, we created story-driven phishing training. Iterations improved engagement and retention; fewer repeat offenses appeared.",design-based,
AR Maintenance Guides for HVAC,2020,Industrial HCI,"A DBR effort produced AR maintenance guides with tuned overlay density and handoff cues. Pilot trials reduced rework.",design-based,
Reflection Prompts in Notebooks,2025,Data Science,"DBR introduced reflection prompts into data science notebooks. Iterations tuned timing; students produced clearer reasoning.",design-based,
Peer-Assessment Rubrics in Programming,2021,Computing Education,"Design-based cycles refined peer-assessment rubrics across courses. Guidance and moderation features improved feedback helpfulness.",design-based,
Community Network Health Dashboard,2022,ICTD,"DBR with volunteers created a network health dashboard. Iterations clarified legends and alerts; stewardship increased.",design-based,
API Tutorial Generator from Specs,2023,Software Engineering,"We iteratively designed a tutorial generator converting API specs into guided walkthroughs. Guardrails and examples reduced onboarding time in pilots.",design-based
Data Residency Program at a SaaS Startup,2024,Cloud Computing,"We conducted an embedded case study of launching a data residency program across EU and APAC regions. Data sources included policy documents, deployment change logs, and 22 semi-structured interviews with engineering, compliance, and customer success. Triangulation showed that automated tagging and regionalized pipelines reduced policy exceptions; incident tickets about cross-region data movement declined after guardrails.",case study,
Formative Feedback Dashboard in HE Courses,2023,Computing Education,"Through iterative design-based research, we co-designed a formative feedback dashboard with instructors and students across three semester-long courses. The prototype was refined over four cycles (enact–analyze–redesign), with each iteration informed by classroom observations and stakeholder workshops. Findings report evolving design principles—actionable aggregation, timeline cues, and scaffolds for reflection—that improved feedback uptake without increasing staff workload. The study contributes reusable design knowledge and a validated artifact for authentic classroom contexts.",design-based,
